period,label,value,baseline,ewma,upper,lower,iqrUpper,iqrLower,z,robustZ,score,severity,isAnomaly,warming
2026-04-01,01 Apr,777894.9610,,777894.9610,,,,,0,0,0,normal,false,true
2026-04-02,02 Apr,806260.1497,,786404.5176,,,,,0,0,0,normal,false,true
2026-04-03,03 Apr,586800.0968,,726523.1914,,,,,0,0,0,normal,false,true
2026-04-04,04 Apr,711816.5388,,722111.1956,,,,,0,0,0,normal,false,true
2026-04-05,05 Apr,330464.1941,,604617.0951,,,,,0,0,0,normal,false,true
2026-04-06,06 Apr,267400.9014,,503452.2370,,,,,0,0,0,normal,false,true
2026-04-07,07 Apr,392238.8190,,470088.2116,,,,,0,0,0,normal,false,true
2026-04-08,08 Apr,392676.2800,553267.9515,446864.6321,965936.1138,140599.7893,1320112.1149,-213904.8585,-0.7800,-0.6700,-0.7800,normal,false,false
2026-04-09,09 Apr,492348.8387,533193.9926,460509.8941,933557.7307,132830.2545,1255647.6166,-150516.3095,-0.2000,0.0100,-0.2000,normal,false,false
2026-04-10,10 Apr,427772.7500,528655.6422,450688.7509,906994.2339,150317.0504,1191183.1184,-87127.7606,-0.5300,-0.2700,-0.5300,normal,false,false
2026-04-11,11 Apr,540017.2381,518567.3529,477487.2970,882559.0147,154575.6911,1112883.7943,-39973.1818,0.1200,0.4200,0.4200,normal,false,false
2026-04-12,12 Apr,541635.6364,520517.3425,496731.7988,867788.8345,173245.8505,1034584.4702,7181.3971,0.1200,0.3300,0.3300,normal,false,false
2026-04-13,13 Apr,243585.6170,522277.2003,420787.9443,854969.2062,189585.1945,956285.1460,54335.9760,-1.6800,-1.4900,-1.6800,normal,false,false
2026-04-14,14 Apr,698443.0313,500839.3862,504084.4704,853301.6581,148377.1143,878642.0134,100396.9023,1.1200,1.3900,1.3900,normal,false,false
2026-04-15,15 Apr,434129.0909,514953.9323,483097.8565,869517.8445,160390.0201,1087808.4677,-24927.9858,-0.4600,-0.3600,-0.4600,normal,false,false
2026-04-16,16 Apr,814281.7419,490399.2273,582453.0222,815078.4484,165720.0062,850250.1778,117606.9881,2,2.3400,2.3400,mild,true,false
2026-04-17,17 Apr,693662.3913,490972.1982,615815.8329,817899.5615,164044.8349,850250.1778,117606.9881,1.2400,1.5400,1.5400,normal,false,false
2026-04-18,18 Apr,402520.3693,498605.2192,551827.1938,838844.5884,158365.8500,1050616.9800,-2613.0932,-0.5600,-0.3900,-0.5600,normal,false,false
2026-04-19,19 Apr,142732.4620,476512.6357,429098.7743,798164.6123,154860.6590,764555.3156,169023.9054,-2.0800,-1.8600,-2.0800,mild,true,false
2026-04-20,20 Apr,194028.4571,463103.2262,358577.6791,821540.9732,104665.4792,764555.3156,169023.9054,-1.5000,-1.4500,-1.5000,normal,false,false
2026-04-21,21 Apr,322348.0092,457862.3374,347708.7782,829495.3973,86229.2774,764555.3156,169023.9054,-0.7300,-0.6700,-0.7300,normal,false,false
2026-04-22,22 Apr,274115.3095,452870.1367,325630.7376,829736.0610,76004.2123,843182.4766,37978.6371,-0.9500,-0.9600,-0.9600,normal,false,false
2026-04-23,23 Apr,247174.5900,444401.4959,302093.8933,831487.1914,57315.8004,923817.3653,-96412.8441,-1.0200,-0.9300,-1.0200,normal,false,false
2026-04-24,24 Apr,231176.8333,426889.0496,280818.7753,825719.3317,28058.7675,972212.9372,-177072.1305,-0.9800,-0.8000,-0.9800,normal,false,false
2026-04-25,25 Apr,270744.1429,412846.4841,277796.3856,824210.5420,1482.4262,986353.3016,-200639.4045,-0.6900,-0.4100,-0.6900,normal,false,false
2026-04-26,26 Apr,447693.3182,393612.6916,328765.4654,804574.2436,-17348.8604,920173.2096,-160931.3493,0.2600,0.9700,0.9700,normal,false,false
2026-04-27,27 Apr,356060.2800,386902.5260,336953.9097,790987.5396,-17182.4876,744031.3630,-55246.2414,-0.1500,0.3700,0.3700,normal,false,false
2026-04-28,28 Apr,214920.2069,394936.4305,300343.7989,791710.6883,-1837.8273,731155.1861,-33785.9465,-0.9100,-0.8300,-0.9100,normal,false,false
2026-04-29,29 Apr,368175.6436,360399.0859,320693.3523,728635.9392,-7837.7674,712802.8675,-51399.6845,0.0400,0.5000,0.5000,normal,false,false
2026-04-30,30 Apr,262627.7033,355688.1254,303273.6576,721712.3196,-10336.0688,632071.0609,-2960.6006,-0.5100,-0.3100,-0.5100,normal,false,false
2026-05-01,01 May,717993.0842,316284.2655,427689.4856,581141.5457,51426.9853,560102.5981,40220.4772,3.0300,4.4200,4.4200,heavy,true,false
2026-05-02,02 May,208553.3850,318022.1721,361948.6554,592891.6304,43152.7138,560102.5981,40220.4772,-0.8000,-0.6300,-0.8000,normal,false,false
2026-05-03,03 May,616838.7000,304167.3875,438415.6688,580155.1544,28179.6207,540603.9855,26012.5903,2.2700,4.1500,4.1500,heavy,true,false
2026-05-04,04 May,425454.4389,338032.1188,434527.2998,641459.6814,34604.5562,560102.5981,40220.4772,0.5800,1.7000,1.7000,normal,false,false
2026-05-05,05 May,711835.6473,354562.5461,517719.8041,649916.5890,59208.5032,651280.0478,10892.5606,2.4200,4.0700,4.0700,heavy,true,false
2026-05-06,06 May,259414.8965,382383.0916,440228.3318,729242.2937,35523.8896,728777.1934,-35605.7268,-0.7100,-0.4100,-0.7100,normal,false,false
2026-05-07,07 May,276662.9574,381333.0621,391158.7195,729583.1364,33082.9879,729981.9960,-37613.7310,-0.6000,-0.2700,-0.6000,normal,false,false
2026-05-08,08 May,273522.3871,383439.3741,355867.8198,728762.6691,38116.0791,715006.8486,-12655.1520,-0.6400,-0.3100,-0.6400,normal,false,false
2026-05-09,09 May,373352.0400,386464.0565,361113.0858,727109.8315,45818.2816,708348.7762,-1558.3647,-0.0800,0.4900,0.4900,normal,false,false
2026-05-10,10 May,442275.3636,393793.1920,385461.7692,728528.5687,59057.8154,707306.9346,178.0380,0.2900,0.5700,0.5700,normal,false,false
2026-05-11,11 May,261725.4906,393406.1953,348340.8856,727903.8587,58908.5318,697148.2698,6273.2369,-0.7900,-0.7200,-0.7900,normal,false,false
2026-05-12,12 May,453401.1852,386667.9960,379858.9755,727641.3289,45694.6632,702248.7655,-2227.5893,0.3900,1.0600,1.0600,normal,false,false
2026-05-13,13 May,344861.6000,403702.3516,369359.7628,732254.8018,75149.9015,728522.2632,-12551.1592,-0.3600,-0.1700,-0.3600,normal,false,false
2026-05-14,14 May,207509.9778,402037.0628,320804.8273,731527.9064,72546.2192,728522.2632,-12551.1592,-1.1800,-1.0700,-1.1800,normal,false,false
2026-05-15,15 May,361622.9756,398100.0824,333050.2718,735384.8608,60815.3040,729537.2524,-14242.8080,-0.2200,0.0200,-0.2200,normal,false,false
2026-05-16,16 May,423602.7647,372645.0746,360216.0197,659545.3654,85744.7839,698163.2591,4581.5881,0.3600,0.5300,0.5300,normal,false,false
2026-05-17,17 May,220030.3182,388005.7446,318160.3092,660800.0260,115211.4632,683714.0366,28663.6255,-1.2300,-1.1300,-1.2300,normal,false,false
2026-05-18,18 May,426604.4651,359662.2888,350693.5560,613243.9586,106080.6190,665466.7289,24199.5062,0.5300,0.5900,0.5900,normal,false,false
2026-05-19,19 May,353932.8182,359744.4335,351665.3346,613412.0309,106076.8361,667623.0280,22905.7267,-0.0500,0.0100,-0.0500,normal,false,false
2026-05-20,20 May,340921.4063,334179.9457,348442.1561,496424.3156,171935.5758,630588.1368,45126.6615,0.0800,-0.0700,0.0800,normal,false,false
2026-05-21,21 May,353831.2981,340001.8393,350058.8987,496857.0382,183146.6404,616138.9143,69208.6989,0.1800,0.0400,0.1800,normal,false,false
2026-05-22,22 May,309121.9048,345513.8636,337777.8006,498453.1823,192574.5449,592041.9960,109370.2295,-0.4800,-0.4200,-0.4800,normal,false,false
2026-05-23,23 May,372420.1631,348056.6863,348170.5093,497261.8201,198851.5524,551992.5385,176119.3252,0.3300,0.2200,0.3300,normal,false,false
2026-05-24,24 May,514187.0769,347990.1237,397975.4796,497150.8844,198829.3629,551410.1154,176468.7791,2.2300,1.8900,2.2300,mild,true,false
2026-05-25,25 May,218299.9795,353126.6746,344072.8296,518943.7912,187309.5580,551410.1154,176468.7791,-1.6300,-1.6000,-1.6300,normal,false,false
2026-05-26,26 May,503406.1200,350024.8524,391872.8167,523989.5201,176060.1847,551410.1154,176468.7791,1.7600,1.7600,1.7600,normal,false,false
2026-05-27,27 May,279384.3678,353596.6334,358126.2820,537664.5635,169528.7034,551410.1154,176468.7791,-0.8100,-0.8800,-0.8800,normal,false,false
2026-05-28,28 May,636052.6667,348919.6883,441504.1974,536923.0592,160916.3174,596789.6577,100836.2087,3.0500,2.6700,3.0500,moderate,true,false
2026-05-29,29 May,527444.0800,379529.8804,467286.1622,601880.5064,157179.2543,589027.4297,153898.3905,1.3300,1.7000,1.7000,normal,false,false
