period,label,value,baseline,ewma,upper,lower,iqrUpper,iqrLower,z,robustZ,score,severity,isAnomaly,warming
2026-03-30,30 Mar,661977.9949,,661977.9949,,,,,0,0,0,normal,false,true
2026-04-06,06 Apr,430048.5969,,569206.2357,,,,,0,0,0,normal,false,true
2026-04-13,13 Apr,483397.8952,,534882.8995,,,,,0,0,0,normal,false,true
2026-04-20,20 Apr,274936.6454,525141.4957,430904.3979,723499.4721,326783.5193,746634.9936,282776.1975,-2.5200,-2.6400,-2.6400,moderate,true,false
2026-04-27,27 Apr,401221.1751,462590.2831,419031.1088,739106.5854,186073.9809,733201.3869,186112.1423,-0.4400,-0.3600,-0.4400,normal,false,false
2026-05-04,04 May,364702.1553,450316.4615,397299.5274,702465.9400,198166.9831,606662.9754,277956.0949,-0.6800,-0.8300,-0.8300,normal,false,false
2026-05-11,11 May,318500.7753,436047.4105,365780.0265,674909.1192,197185.7017,614403.5612,229488.9197,-0.9800,-1.1000,-1.1000,normal,false,false
2026-05-18,18 May,372203.9914,378801.2072,368349.6125,517105.6771,240496.7373,562027.6732,190865.1886,-0.1000,-0.1300,-0.1300,normal,false,false
2026-05-25,25 May,470097.9130,369160.4396,409048.9327,499676.7260,238644.1533,489840.5175,234177.4820,1.5500,1.6600,1.6600,normal,false,false
2026-06-01,01 Jun,430298.1873,366943.7759,417548.6345,489854.1692,244033.3826,489840.5175,234177.4820,1.0300,1.0100,1.0300,normal,false,false
