period,label,value,baseline,ewma,upper,lower,iqrUpper,iqrLower,z,robustZ,score,severity,isAnomaly,warming
2026-04-01,01 Apr,40,,40,,,,,0,0,0,normal,false,true
2026-04-02,02 Apr,35,,38.5000,,,,,0,0,0,normal,false,true
2026-04-03,03 Apr,31,,36.2500,,,,,0,0,0,normal,false,true
2026-04-04,04 Apr,32,,34.9750,,,,,0,0,0,normal,false,true
2026-04-05,05 Apr,27,,32.5825,,,,,0,0,0,normal,false,true
2026-04-06,06 Apr,28,,31.2077,,,,,0,0,0,normal,false,true
2026-04-07,07 Apr,30,,30.8454,,,,,0,0,0,normal,false,true
2026-04-08,08 Apr,25,31.8571,29.0918,40.0984,23.6159,40.2500,22.2500,-1.6600,-1.3500,-1.6600,normal,false,false
2026-04-09,09 Apr,31,31,29.6643,39.9443,22.0557,40.2500,20.2500,0,0.1100,0.1100,normal,false,false
2026-04-10,10 Apr,32,31,30.3650,39.4327,22.5673,38,22,0.2400,0.2200,0.2400,normal,false,false
2026-04-11,11 Apr,21,31.1000,27.5555,39.1225,23.0775,37.2500,23.2500,-2.5200,-3.3700,-3.3700,moderate,true,false
2026-04-12,12 Apr,22,30.1818,25.8888,39.7855,20.5781,38.7500,20.7500,-1.7000,-2.0200,-2.0200,mild,true,false
2026-04-13,13 Apr,47,29.5000,32.2222,39.7470,19.2530,40.2500,18.2500,3.4200,3.7100,3.7100,heavy,true,false
2026-04-14,14 Apr,32,30.8462,32.1555,44.4073,17.2850,39.5000,19.5000,0.1700,0.1700,0.1700,normal,false,false
2026-04-15,15 Apr,33,30.9286,32.4089,44.0099,17.8472,39.1250,20.1250,0.3200,0.3900,0.3900,normal,false,false
2026-04-16,16 Apr,31,30.4286,31.9862,42.5874,18.2698,39.1250,20.1250,0.0900,0,0.0900,normal,false,false
2026-04-17,17 Apr,23,30.1429,29.2903,42.0438,18.2419,39.1250,20.1250,-1.2000,-3.6000,-3.6000,heavy,true,false
2026-04-18,18 Apr,28,29.5714,28.9032,42.0090,17.1338,41.7500,15.7500,-0.2500,-0.6700,-0.6700,normal,false,false
2026-04-19,19 Apr,20,29.2857,26.2323,41.6707,16.9007,41.1250,16.1250,-1.5000,-2.0200,-2.0200,mild,true,false
2026-04-20,20 Apr,35,28.7857,28.8626,42.0345,15.5369,44.1250,11.1250,0.9400,1.1600,1.1600,normal,false,false
2026-04-21,21 Apr,26,29.2857,28.0038,42.9014,15.6700,44.7500,10.7500,-0.4800,-0.8700,-0.8700,normal,false,false
2026-04-22,22 Apr,42,29,32.2027,42.7113,15.2887,44.7500,10.7500,1.9000,2.1100,2.1100,mild,true,false
2026-04-23,23 Apr,36,30.2143,33.3419,45.2415,15.1871,46.2500,10.2500,0.7700,0.7500,0.7700,normal,false,false
2026-04-24,24 Apr,24,30.5714,30.5393,45.8912,15.2517,50.6250,7.6250,-0.8600,-1.0100,-1.0100,normal,false,false
2026-04-25,25 Apr,28,30,29.7775,45.6570,14.3430,51.3750,6.3750,-0.2600,-0.1700,-0.2600,normal,false,false
2026-04-26,26 Apr,22,30.5000,27.4443,45.4045,15.5955,49.5000,9.5000,-1.1400,-0.9200,-1.1400,normal,false,false
2026-04-27,27 Apr,33,30.5000,29.1110,45.4045,15.5955,49.5000,9.5000,0.3400,0.4300,0.4300,normal,false,false
2026-04-28,28 Apr,29,29.5000,29.0777,41.4224,17.5776,45.7500,11.7500,-0.0800,-0.0700,-0.0800,normal,false,false
2026-04-29,29 Apr,33,29.2857,30.2544,41.1282,17.4432,45.7500,11.7500,0.6300,0.6700,0.6700,normal,false,false
2026-04-30,30 Apr,43,29.2857,34.0781,41.1282,17.4432,45.7500,11.7500,2.3200,2.1700,2.3200,mild,true,false
2026-05-01,01 May,45,30.1429,37.3546,43.9343,16.3514,49.5000,9.5000,2.1500,2.2300,2.2300,mild,true,false
2026-05-02,02 May,24,31.7143,33.3483,46.8410,16.5876,49.6250,12.6250,-1.0200,-0.9400,-1.0200,normal,false,false
2026-05-03,03 May,20,31.4286,29.3438,46.9705,15.8867,52.6250,7.6250,-1.4700,-1.2400,-1.4700,normal,false,false
2026-05-04,04 May,37,31.4286,31.6406,46.9705,15.8867,52.6250,7.6250,0.7200,0.6700,0.7200,normal,false,false
2026-05-05,05 May,22,31.5714,28.7485,47.2779,15.8649,55.1250,6.1250,-1.2200,-0.9300,-1.2200,normal,false,false
2026-05-06,06 May,46,31.2857,33.9239,47.5237,15.0477,55.8750,4.8750,1.8100,1.4500,1.8100,normal,false,false
2026-05-07,07 May,47,31.5714,37.8467,48.6714,14.4715,55.8750,4.8750,1.8000,1.5400,1.8000,normal,false,false
2026-05-08,08 May,31,32.3571,35.7927,51.1280,13.5862,67.7500,-2.2500,-0.1400,0,-0.1400,normal,false,false
2026-05-09,09 May,25,32.8571,32.5549,51.0758,14.6385,66.2500,0.2500,-0.8600,-0.5200,-0.8600,normal,false,false
2026-05-10,10 May,22,32.6429,29.3884,51.1532,14.1325,67.3750,-1.6250,-1.1500,-0.7500,-1.1500,normal,false,false
2026-05-11,11 May,53,32.6429,36.4719,51.1532,14.1325,67.3750,-1.6250,2.2000,1.5700,2.2000,mild,true,false
2026-05-12,12 May,27,34.0714,33.6303,55.3514,12.7915,74.8750,-6.1250,-0.6600,-0.3400,-0.6600,normal,false,false
2026-05-13,13 May,45,33.9286,37.0412,55.3690,12.4881,74.8750,-6.1250,1.0300,0.8800,1.0300,normal,false,false
2026-05-14,14 May,45,34.7857,39.4289,56.9562,12.6152,76.1250,-6.8750,0.9200,0.6700,0.9200,normal,false,false
2026-05-15,15 May,41,34.9286,39.9002,57.3335,12.5237,76.1250,-6.8750,0.5400,0.4300,0.5400,normal,false,false
2026-05-16,16 May,34,34.6429,38.1301,56.6248,12.6610,76.1250,-6.8750,-0.0600,0,-0.0600,normal,false,false
2026-05-17,17 May,22,35.3571,33.2911,56.5448,14.1694,74.2500,-3.7500,-1.2600,-0.9100,-1.2600,normal,false,false
2026-05-18,18 May,43,35.5000,36.2038,56.2949,14.7051,74.2500,-3.7500,0.7200,0.5100,0.7200,normal,false,false
2026-05-19,19 May,33,35.9286,35.2426,57.0738,14.7833,74.2500,-3.7500,-0.2800,-0.3400,-0.3400,normal,false,false
2026-05-20,20 May,38,36.7143,36.0698,56.5050,16.9235,70.5000,2.5000,0.1300,0.0400,0.1300,normal,false,false
2026-05-21,21 May,31,36.1429,34.5489,55.2793,17.0064,69.2500,3.2500,-0.5400,-0.3700,-0.5400,normal,false,false
2026-05-22,22 May,29,35,32.8842,53.2991,16.7009,64.2500,6.2500,-0.6600,-0.3800,-0.6600,normal,false,false
2026-05-23,23 May,26,34.8571,30.8190,53.3095,16.4048,65,5,-0.9600,-0.6300,-0.9600,normal,false,false
2026-05-24,24 May,13,34.9286,25.4733,53.2349,16.6222,65,5,-2.4000,-1.8400,-2.4000,mild,true,false
2026-05-25,25 May,37,34.2857,28.9313,54.8552,13.7163,65,5,0.2600,0.3100,0.3100,normal,false,false
2026-05-26,26 May,25,33.1429,27.7519,51.0291,15.2566,59.3750,8.3750,-0.9100,-0.8200,-0.9100,normal,false,false
2026-05-27,27 May,36,33,30.2263,51.1108,14.8892,60.5000,6.5000,0.3300,0.2200,0.3300,normal,false,false
2026-05-28,28 May,30,32.3571,30.1584,49.3211,15.3932,54.2500,10.2500,-0.2800,-0.3900,-0.3900,normal,false,false
2026-05-29,29 May,28,31.2857,29.5109,46.7486,15.8228,51.7500,11.7500,-0.4200,-0.4900,-0.4900,normal,false,false
