period,label,value,baseline,ewma,upper,lower,iqrUpper,iqrLower,z,robustZ,score,severity,isAnomaly,warming
2026-03-30,30 Mar,165,,165,,,,,0,0,0,normal,false,true
2026-04-06,06 Apr,189,,174.6000,,,,,0,0,0,normal,false,true
2026-04-13,13 Apr,214,,190.3600,,,,,0,0,0,normal,false,true
2026-04-20,20 Apr,213,189.3333,199.4160,229.3444,149.3222,238.2500,140.2500,1.1800,0.6700,1.1800,normal,false,false
2026-04-27,27 Apr,227,195.2500,210.4496,235.5085,154.9915,258.6250,137.6250,1.5800,1.4000,1.5800,normal,false,false
2026-05-04,04 May,230,201.6000,218.2698,245.6654,157.5346,251.5000,151.5000,1.2900,0.8200,1.2900,normal,false,false
2026-05-11,11 May,267,206.3333,237.7619,251.7891,160.8776,266.8750,151.8750,2.6700,2.4100,2.6700,moderate,true,false
2026-05-18,18 May,213,223.3333,227.8571,270.5021,176.1646,253.2500,189.2500,-0.4400,-0.6000,-0.6000,normal,false,false
2026-05-25,25 May,193,227.3333,213.9143,265.3626,189.3041,253.2500,189.2500,-1.8100,-2.4700,-2.4700,mild,true,false
2026-06-01,01 Jun,151,223.8333,188.7486,269.2707,178.3960,253.6250,188.6250,-3.2100,-5.4800,-5.4800,extreme,true,false
