period,label,value,baseline,ewma,upper,lower,iqrUpper,iqrLower,z,robustZ,score,severity,isAnomaly,warming
2026-04-01,01 Apr,0.9411,,0.9411,,,,,0,0,0,normal,false,true
2026-04-02,02 Apr,0.4677,,0.7991,,,,,0,0,0,normal,false,true
2026-04-03,03 Apr,0.7798,,0.7933,,,,,0,0,0,normal,false,true
2026-04-04,04 Apr,0.5566,,0.7223,,,,,0,0,0,normal,false,true
2026-04-05,05 Apr,0.4138,,0.6297,,,,,0,0,0,normal,false,true
2026-04-06,06 Apr,0.0093,,0.4436,,,,,0,0,0,normal,false,true
2026-04-07,07 Apr,-0.1784,,0.2570,,,,,0,0,0,normal,false,true
2026-04-08,08 Apr,0.0940,0.4271,0.2081,1.1633,-0.3091,1.3532,-0.4735,-0.9000,-0.8100,-0.9000,normal,false,false
2026-04-09,09 Apr,0.8131,0.3855,0.3896,1.1085,-0.3375,1.4217,-0.7365,1.1800,0.7300,1.1800,normal,false,false
2026-04-10,10 Apr,0.3525,0.4330,0.3785,1.1657,-0.2997,1.8083,-0.9345,-0.2200,-0.2200,-0.2200,normal,false,false
2026-04-11,11 Apr,0.1417,0.4250,0.3075,1.1218,-0.2719,1.5719,-0.6893,-0.8100,-0.5900,-0.8100,normal,false,false
2026-04-12,12 Apr,0.6879,0.3992,0.4216,1.0833,-0.2848,1.4937,-0.7076,0.8400,0.5800,0.8400,normal,false,false
2026-04-13,13 Apr,-1.0092,0.4233,-0.0077,1.0973,-0.2508,1.5824,-0.7418,-4.2500,-3.0700,-4.2500,heavy,true,false
2026-04-14,14 Apr,-0.2377,0.3131,-0.0767,1.3142,-0.6881,1.5786,-0.7967,-1.1000,-1.3700,-1.3700,normal,false,false
2026-04-15,15 Apr,0.3458,0.2737,0.0501,1.2793,-0.7318,1.5919,-0.9064,0.1400,-0.0700,0.1400,normal,false,false
2026-04-16,16 Apr,0.5654,0.2312,0.2047,1.1683,-0.7059,1.2903,-0.7255,0.7100,0.4900,0.7100,normal,false,false
2026-04-17,17 Apr,0.6694,0.2382,0.3441,1.1836,-0.7073,1.3623,-0.7686,0.9100,0.7300,0.9100,normal,false,false
2026-04-18,18 Apr,0.7695,0.2303,0.4717,1.1593,-0.6987,1.3623,-0.7686,1.1600,0.9900,1.1600,normal,false,false
2026-04-19,19 Apr,-1.6392,0.2455,-0.1616,1.2019,-0.7109,1.5628,-0.8889,-3.9400,-4.0700,-4.0700,heavy,true,false
2026-04-20,20 Apr,0.3139,0.0989,-0.0189,1.4537,-1.2559,1.8058,-1.2939,0.3200,0.1100,0.3200,normal,false,false
2026-04-21,21 Apr,0.0607,0.1206,0.0050,1.4787,-1.2375,1.7740,-1.2409,-0.0900,-0.5200,-0.5200,normal,false,false
2026-04-22,22 Apr,0.0768,0.1377,0.0265,1.4863,-1.2109,1.5049,-0.7925,-0.0900,-0.5600,-0.5600,normal,false,false
2026-04-23,23 Apr,-1.0946,0.1365,-0.3098,1.4853,-1.2123,1.5114,-0.8033,-1.8300,-3.1600,-3.1600,moderate,true,false
2026-04-24,24 Apr,-3.8960,0.0002,-1.3857,1.4310,-1.4306,1.5251,-1.1761,-5.4500,-7.1400,-7.1400,extreme,true,false
2026-04-25,25 Apr,0.6729,-0.3033,-0.7681,2.1423,-2.7488,2.5008,-2.8066,0.8000,0.7500,0.8000,normal,false,false
2026-04-26,26 Apr,0.8654,-0.2653,-0.2781,2.2227,-2.7534,2.8330,-3.0060,0.9100,0.9500,0.9500,normal,false,false
2026-04-27,27 Apr,0.2193,-0.2526,-0.1289,2.2565,-2.7617,2.8330,-3.0060,0.3800,0.0300,0.3800,normal,false,false
2026-04-28,28 Apr,-0.3595,-0.1649,-0.1980,2.3180,-2.6478,1.8532,-1.3729,-0.1600,-1.0400,-1.0400,normal,false,false
2026-04-29,29 Apr,0.4232,-0.1736,-0.0117,2.3111,-2.6583,1.9901,-1.6011,0.4800,0.2600,0.4800,normal,false,false
2026-04-30,30 Apr,-0.2026,-0.1681,-0.0689,2.3216,-2.6577,1.9901,-1.6011,-0.0300,-0.7800,-0.7800,normal,false,false
2026-05-01,01 May,0.8305,-0.2229,0.2009,2.2333,-2.6791,2.0000,-1.7124,0.8600,0.8900,0.8900,normal,false,false
2026-05-02,02 May,0.2407,-0.2114,0.2128,2.2629,-2.6857,2.0064,-1.7162,0.3700,0.1200,0.3700,normal,false,false
2026-05-03,03 May,0.7561,-0.2492,0.3758,2.1798,-2.6781,1.4700,-1.3944,0.8300,0.9600,0.9600,normal,false,false
2026-05-04,04 May,0.2936,-0.0781,0.3512,2.2713,-2.4274,1.7312,-1.2575,0.3200,0.1000,0.3200,normal,false,false
2026-05-05,05 May,0.2693,-0.0795,0.3266,2.2689,-2.4279,1.7312,-1.2575,0.3000,0.0600,0.3000,normal,false,false
2026-05-06,06 May,0.1563,-0.0646,0.2755,2.2898,-2.4190,1.7252,-1.2475,0.1900,-0.1500,0.1900,normal,false,false
2026-05-07,07 May,0.2153,-0.0590,0.2574,2.2972,-2.4151,1.6954,-1.1978,0.2300,-0.0600,0.2300,normal,false,false
2026-05-08,08 May,0.3564,0.0346,0.2871,2.3218,-2.2526,1.2695,-0.4880,0.2800,0.2300,0.2800,normal,false,false
2026-05-09,09 May,0.8101,0.3384,0.4440,1.0296,-0.3529,1.2016,-0.3749,1.3700,2.6700,2.6700,moderate,true,false
2026-05-10,10 May,0.8208,0.3482,0.5571,1.0616,-0.3653,1.3577,-0.4685,1.3200,2.7300,2.7300,moderate,true,false
2026-05-11,11 May,0.5409,0.3450,0.5522,1.0495,-0.3596,1.3577,-0.4685,0.5600,1.3100,1.3100,normal,false,false
2026-05-12,12 May,0.2032,0.3679,0.4475,1.0756,-0.3397,1.4233,-0.4993,-0.4700,-0.4300,-0.4700,normal,false,false
2026-05-13,13 May,0.4468,0.4081,0.4473,1.0004,-0.1842,1.4233,-0.4993,0.1300,0.5700,0.5700,normal,false,false
2026-05-14,14 May,-0.4368,0.4098,0.1821,1.0024,-0.1828,1.4233,-0.4993,-2.8600,-3.5400,-3.5400,heavy,true,false
2026-05-15,15 May,0.0871,0.3931,0.1536,1.0622,-0.2760,1.4233,-0.4993,-0.9100,-1.1000,-1.1000,normal,false,false
2026-05-16,16 May,0.6721,0.3400,0.3091,0.9791,-0.2991,0.9842,-0.2606,1.0400,1.8100,1.8100,normal,false,false
2026-05-17,17 May,0.7119,0.3708,0.4300,1.0291,-0.2875,1.2890,-0.4434,1.0400,1.3600,1.3600,normal,false,false
2026-05-18,18 May,0.1469,0.3677,0.3451,1.0190,-0.2837,1.2890,-0.4434,-0.6800,-0.6200,-0.6800,normal,false,false
2026-05-19,19 May,0.2725,0.3572,0.3233,1.0176,-0.3032,1.3463,-0.5389,-0.2600,-0.1400,-0.2600,normal,false,false
2026-05-20,20 May,-0.0091,0.3574,0.2236,1.0177,-0.3029,1.3463,-0.5389,-1.1100,-1.1100,-1.1100,normal,false,false
2026-05-21,21 May,-0.4425,0.3456,0.0238,1.0255,-0.3343,1.3568,-0.5565,-2.3200,-2.2500,-2.3200,mild,true,false
2026-05-22,22 May,0.2466,0.2986,0.0906,1.0898,-0.4926,1.4452,-0.7038,-0.1300,-0.1700,-0.1700,normal,false,false
2026-05-23,23 May,0.5264,0.2908,0.2213,1.0817,-0.5002,1.4452,-0.7038,0.6000,0.6500,0.6500,normal,false,false
2026-05-24,24 May,0.7616,0.2705,0.3834,1.0206,-0.4796,1.1901,-0.5508,1.3100,1.2600,1.3100,normal,false,false
2026-05-25,25 May,-0.7009,0.2663,0.0581,1.0045,-0.4720,1.1901,-0.5508,-2.6200,-2.4200,-2.6200,moderate,true,false
2026-05-26,26 May,-0.2252,0.1776,-0.0268,1.0489,-0.6938,1.2437,-0.7223,-0.9200,-1.1300,-1.1300,normal,false,false
2026-05-27,27 May,-0.1063,0.1470,-0.0507,1.0423,-0.7484,1.5229,-1.1876,-0.5700,-0.5400,-0.5700,normal,false,false
2026-05-28,28 May,0.6621,0.1075,0.1631,0.9952,-0.7803,1.4505,-1.1830,1.2500,0.9800,1.2500,normal,false,false
2026-05-29,29 May,0.2709,0.1860,0.1955,1.0616,-0.6896,1.6934,-1.1473,0.1900,0.1300,0.1900,normal,false,false
2026-05-30,30 May,-0.7056,0.1991,-0.0748,1.0739,-0.6757,1.6934,-1.1473,-2.0700,-1.6900,-2.0700,mild,true,false
2026-05-31,31 May,0.7405,0.1007,0.1698,1.0475,-0.8461,1.4505,-1.1830,1.3500,0.9800,1.3500,normal,false,false
2026-06-01,01 Jun,0.5034,0.1027,0.2698,1.0549,-0.8494,1.4505,-1.1830,0.8400,0.5500,0.8400,normal,false,false
2026-06-02,02 Jun,-3.3808,0.1282,-0.8253,1.1025,-0.8462,1.5947,-1.2696,-7.2000,-6.3900,-7.2000,extreme,true,false
2026-06-03,03 Jun,0.6350,-0.1328,-0.3873,1.9139,-2.1795,1.8838,-1.7514,0.7500,0.7300,0.7500,normal,false,false
