period,label,value,baseline,ewma,upper,lower,iqrUpper,iqrLower,z,robustZ,score,severity,isAnomaly,warming
2026-03-30,30 Mar,0.6687,,0.6687,,,,,0,0,0,normal,false,true
2026-04-06,06 Apr,0.3191,,0.5288,,,,,0,0,0,normal,false,true
2026-04-13,13 Apr,0.1646,,0.3832,,,,,0,0,0,normal,false,true
2026-04-20,20 Apr,-0.2426,0.3841,0.1329,0.8058,-0.0376,0.8719,-0.1362,-2.9700,-2.4500,-2.9700,moderate,true,false
2026-04-27,27 Apr,0.4453,0.2274,0.2578,0.8816,-0.4267,0.9219,-0.4526,0.6700,0.5400,0.6700,normal,false,false
2026-05-04,04 May,0.3824,0.2710,0.3076,0.8815,-0.3395,0.8663,-0.2563,0.3600,0.2800,0.3600,normal,false,false
2026-05-11,11 May,0.3206,0.2896,0.3128,0.8531,-0.2739,0.7690,-0.1362,0.1100,-0.1400,-0.1400,normal,false,false
2026-05-18,18 May,0.1678,0.2316,0.2548,0.6886,-0.2255,0.6125,-0.0423,-0.2800,-1.0900,-1.0900,normal,false,false
2026-05-25,25 May,0.1973,0.2064,0.2318,0.6580,-0.2452,0.6692,-0.1368,-0.0400,-0.2900,-0.2900,normal,false,false
2026-06-01,01 Jun,-0.0133,0.2118,0.1338,0.6620,-0.2384,0.6545,-0.1124,-1,-1.7100,-1.7100,normal,false,false
