period,label,value,baseline,ewma,upper,lower,iqrUpper,iqrLower,z,robustZ,score,severity,isAnomaly,warming
2026-04-01,01 Apr,2202564.9900,,2202564.9900,,,,,0,0,0,normal,false,true
2026-04-02,02 Apr,-62624210.6100,,-17245467.6900,,,,,0,0,0,normal,false,true
2026-04-03,03 Apr,52057.1500,,-12056210.2380,,,,,0,0,0,normal,false,true
2026-04-04,04 Apr,406207.5800,,-8317484.8926,,,,,0,0,0,normal,false,true
2026-04-05,05 Apr,-698710,,-6031852.4248,,,,,0,0,0,normal,false,true
2026-04-06,06 Apr,-696480.2400,,-4431240.7694,,,,,0,0,0,normal,false,true
2026-04-07,07 Apr,-2441441,,-3834300.8386,,,,,0,0,0,normal,false,true
2026-04-08,08 Apr,-11397954.7000,-9114287.4471,-6103396.9970,34652973.8103,-52881548.7046,2927944.1625,-4268887.2975,-0.1000,-6.5500,-6.5500,extreme,true,false
2026-04-09,09 Apr,-1815081.2900,-9399745.8537,-4816902.2849,31568633.8468,-50368125.5543,7372341.0313,-11912315.6988,0.3700,-0.5300,-0.5300,normal,false,false
2026-04-10,10 Apr,339511.3500,-8557005.3467,-3269978.1944,30361436.4576,-47475447.1509,3792304.3750,-6181688.2250,0.4600,0.6300,0.6300,normal,false,false
2026-04-11,11 Apr,336102.9000,-7667353.6770,-2188153.8661,29637791.8740,-44972499.2280,4096396.1087,-6113599.3812,0.4300,0.6300,0.6300,normal,false,false
2026-04-12,12 Apr,8960,-6939766.7155,-1529019.7063,28925723.4995,-42805256.9304,4036909.5300,-5827363.5500,0.3900,0.4300,0.4300,normal,false,false
2026-04-13,13 Apr,-30442406,-6360706.1558,-10203035.5944,28192045.2415,-40913457.5531,3799894.3575,-5434610.5625,-1.3900,-28.3300,-28.3300,extreme,true,false
2026-04-14,14 Apr,-299866.4800,-8213144.6054,-7232084.8601,27378541.0617,-43804830.2725,4502418.7500,-6607756.8500,0.4400,0.2400,0.4400,normal,false,false
2026-04-15,15 Apr,-15290030,-7647910.4536,-9649468.4021,26890446.7068,-42186267.6139,4090005.2650,-6109764.8750,-0.4400,-11.4500,-11.4500,extreme,true,false
2026-04-16,16 Apr,-23306463.3000,-8897381.5243,-13746566.8714,25389879.9044,-43184642.9530,13841446.5687,-22958989.9812,-0.8400,-14.2500,-14.2500,extreme,true,false
2026-04-17,17 Apr,-1743751.4400,-6088971.0021,-10145722.2420,13370041.8618,-25547983.8661,13841446.5687,-22958989.9812,0.4500,-0.6600,-0.6600,normal,false,false
2026-04-18,18 Apr,-383037.5600,-6217243.0443,-7216916.8374,13101323.0810,-25535809.1696,13567622.8625,-22794695.7575,0.6000,0.4100,0.6000,normal,false,false
2026-04-19,19 Apr,-1808185,-6273617.6971,-5594297.2862,12971773.9741,-25519009.3684,12936591.2875,-22416076.8125,0.4600,-0.3200,0.4600,normal,false,false
2026-04-20,20 Apr,-70983832.2800,-6352865.9114,-25211157.7843,12809004.1245,-25514735.9473,12936591.2875,-22416076.8125,-6.7500,-28.6300,-28.6300,extreme,true,false
2026-04-21,21 Apr,-1807702.3600,-11373391.0571,-18190121.1570,26714507.7259,-49461289.8402,20673868.6375,-35311539.0625,0.5000,0,0.5000,normal,false,false
2026-04-22,22 Apr,-106572.6600,-11328124.0114,-12765056.6079,26803610.4249,-49459858.4478,20673868.6375,-35311539.0625,0.5900,0.5800,0.5900,normal,false,false
2026-04-23,23 Apr,146411.7500,-10521596.7229,-8891616.1005,28045278.8852,-49088472.3310,17494698.9463,-29570887.8837,0.5500,0.7500,0.7500,normal,false,false
2026-04-24,24 Apr,-1522535.5500,-10381490.0771,-6680891.9354,28324883.7250,-49087863.8793,17829545.2125,-29769037.1275,0.4600,-0.2700,0.4600,normal,false,false
2026-04-25,25 Apr,-1921156.8800,-10514493.4271,-5252971.4188,28056166.5932,-49085153.4475,17492112.8375,-29566577.7025,0.4500,-0.1200,0.4500,normal,false,false
2026-04-26,26 Apr,311694,-10675726.2686,-3583571.7931,27730677.2093,-49082129.7465,17120069.4550,-29388540.4250,0.5700,0.9000,0.9000,normal,false,false
2026-04-27,27 Apr,-78743305.7600,-10654102.4114,-26131491.9832,27776672.9631,-49084877.7859,17120069.4550,-29388540.4250,-3.5400,-33.0100,-33.0100,extreme,true,false
2026-04-28,28 Apr,-4768651,-14104166.6800,-19722639.6882,37296659.2748,-65504992.6348,17120069.4550,-29388540.4250,0.3600,-1.2800,-1.2800,normal,false,false
2026-04-29,29 Apr,-3910246.6600,-14423365.5743,-14978921.7798,36685269.1416,-65532000.2902,17319747.7312,-30647345.0388,0.4100,-0.7800,-0.7800,normal,false,false
2026-04-30,30 Apr,40112368.8300,-13610523.9071,1548465.4032,37778325.6306,-64999373.4449,5161294.7287,-10383256.7012,2.0900,15.4700,15.4700,extreme,true,false
2026-05-01,01 May,3163435.1300,-9080607.3264,2032956.3212,48854589.0892,-67015803.7420,4680239.1100,-8268902.2100,0.4200,1.8600,1.8600,normal,false,false
2026-05-02,02 May,-6475218,-8730094.0000,-519495.9751,49437328.2275,-66897516.2275,5327375.4412,-8657184.0087,0.0800,-1.7100,-1.7100,normal,false,false
2026-05-03,03 May,85481.1000,-9165249.7457,-338002.8526,48836798.4874,-67167297.9788,7038988.9912,-11509873.2587,0.3200,0.6000,0.6000,normal,false,false
2026-05-04,04 May,-11543784,-9029987.8814,-3699737.1968,49048838.0513,-67108813.8142,7159022.5913,-11581893.4187,-0.0900,-3.1600,-3.1600,moderate,true,false
2026-05-05,05 May,-219734.9400,-4784270.1471,-2655736.5198,42185932.3953,-51754472.6896,7159022.5913,-11581893.4187,0.1900,0.4600,0.4600,normal,false,false
2026-05-06,06 May,-516739.2700,-4670843.9029,-2014037.3448,42335218.4805,-51676906.2863,7159022.5913,-11581893.4187,0.1800,0.1100,0.1800,normal,false,false
