period,label,value,baseline,ewma,upper,lower,iqrUpper,iqrLower,z,robustZ,score,severity,isAnomaly,warming
2026-03-30,30 Mar,-60662090.8900,,-60662090.8900,,,,,0,0,0,normal,false,true
2026-04-06,06 Apr,-15666382.9800,,-42663807.7260,,,,,0,0,0,normal,false,true
2026-04-13,13 Apr,-73273739.7800,,-54907780.5476,,,,,0,0,0,normal,false,true
2026-04-20,20 Apr,-75883693.9800,-49867404.5500,-63298145.9206,-415857.1053,-99318951.9947,5041280.6650,-110173432.9350,-1.0500,-0.8100,-1.0500,normal,false,false
2026-04-27,27 Apr,-50536136.3600,-56371476.9075,-58193342.0963,-7980081.5434,-104762872.2716,-12643567.2863,-110695824.9562,0.2400,1.4600,1.4600,normal,false,false
2026-05-04,04 May,-33744404.9100,-55204408.7980,-48413767.2218,-11670807.0198,-98738010.5762,-16429731.2300,-107380144.9100,0.9900,1.4400,1.4400,normal,false,false
2026-05-11,11 May,-54289622.4600,-51627741.4833,-50764109.3171,-8788938.3789,-94466544.5877,10325396.9050,-118388562.2350,-0.1200,0.0500,-0.1200,normal,false,false
2026-05-18,18 May,-161429847.1200,-50565663.4117,-95030404.4382,-8364220.6300,-92767106.1933,7935721.2437,-114405769.4662,-5.2500,-3.7200,-5.2500,extreme,true,false
2026-05-25,25 May,-19886034.4200,-74859574.1017,-64972656.4309,7615414.1645,-157334562.3679,-15839461.5675,-110866251.7475,1.3300,2.3400,2.3400,mild,true,false
2026-06-01,01 Jun,-33772471.3600,-65961623.2083,-52492582.4026,26225576.0054,-158148822.4220,10871919.7187,-119299433.5912,0.7000,0.6000,0.7000,normal,false,false
