period,label,value,baseline,ewma,upper,lower,iqrUpper,iqrLower,z,robustZ,score,severity,isAnomaly,warming
2026-03-30,30 Mar,64555857.6400,,64555857.6400,,,,,0,0,0,normal,false,true
2026-04-06,06 Apr,22008007.2600,,47536717.4880,,,,,0,0,0,normal,false,true
2026-04-13,13 Apr,75054195.2900,,58543708.6088,,,,,0,0,0,normal,false,true
2026-04-20,20 Apr,79252911.6300,53872686.7300,66827389.8173,99744162.8823,8001210.5777,109589667.4875,3497291.4275,1.1100,0.9400,1.1100,normal,false,false
2026-04-27,27 Apr,102090114.2700,60217742.9550,80932479.5984,105618856.4356,14816629.4744,109381343.3700,20641426.0500,1.8400,2.9600,2.9600,moderate,true,false
2026-05-04,04 May,37462657.5400,68592217.2180,63544550.7750,121233626.6893,15950807.7467,101298492.6150,42510276.6550,-1.1800,-2.4200,-2.4200,mild,true,false
2026-05-11,11 May,56400150.5500,63403957.2717,60686790.6850,116767107.6474,10040806.8960,129154145.0150,-6714954.9050,-0.2600,-0.4300,-0.4300,normal,false,false
2026-05-18,18 May,165894218.2400,62044672.7567,102769761.7070,115636209.6184,8453135.8949,132212535.1737,-11812271.8362,3.8800,3.2300,3.8800,heavy,true,false
2026-05-25,25 May,36899332,86025707.9200,76421589.8242,167835782.5351,4215633.3049,149356541.4225,8087933.9225,-1.2000,-1.1900,-1.2000,normal,false,false
2026-06-01,01 Jun,36498269.4400,79666564.0383,60452261.6705,169443052.8647,-10109924.7880,177656487.8363,-39078643.4338,-0.9600,-0.6900,-0.9600,normal,false,false
