period,label,value,baseline,ewma,upper,lower,iqrUpper,iqrLower,z,robustZ,score,severity,isAnomaly,warming
2026-04-01,01 Apr,1833201,,1833201,,,,,0,0,0,normal,false,true
2026-04-02,02 Apr,15019854.7600,,5789197.1280,,,,,0,0,0,normal,false,true
2026-04-03,03 Apr,4006389,,5254354.6896,,,,,0,0,0,normal,false,true
2026-04-04,04 Apr,10099241,,6707820.5827,,,,,0,0,0,normal,false,true
2026-04-05,05 Apr,5230711,,6264687.7079,,,,,0,0,0,normal,false,true
2026-04-06,06 Apr,7417851,,6610636.6955,,,,,0,0,0,normal,false,true
2026-04-07,07 Apr,13866769,,8787476.3869,,,,,0,0,0,normal,false,true
2026-04-08,08 Apr,8893647,8210573.8229,8819327.5708,17461981.7630,-1040834.1173,23029687.5000,-6428132.5000,0.1500,0.2900,0.2900,normal,false,false
2026-04-09,09 Apr,2852001.4700,8295957.9700,7029129.7406,16961643.9174,-369727.9774,20215861.7500,-4250108.2500,-1.2600,-1.0100,-1.2600,normal,false,false
2026-04-10,10 Apr,8862781,7691073.9144,7579225.1184,16548761.7433,-1166613.9144,19238519,-5132889,0.2600,0.2900,0.2900,normal,false,false
2026-04-11,11 Apr,9733250,7808244.6230,8225432.5829,16240742.0825,-624252.8365,18025902,-3915590,0.4600,0.3100,0.4600,normal,false,false
2026-04-12,12 Apr,3719406,7983245.1118,6873624.6080,16099139.7823,-132649.5586,17862788.7500,-3327993.2500,-1.0500,-0.9600,-1.0500,normal,false,false
2026-04-13,13 Apr,23002803,7627925.1858,11712378.1256,15747892.3307,-492041.9591,18659904.5000,-4900513.5000,3.7900,2.8500,3.7900,heavy,true,false
2026-04-14,14 Apr,27663613,8810608.0946,16497748.5879,20124382.7064,-2503166.5171,19238519,-5132889,3.3300,2.6100,3.3300,moderate,true,false
2026-04-15,15 Apr,9372128,10157251.3021,14360062.4115,24757176.7898,-4442674.1855,25843513.2500,-8606156.7500,-0.1100,0.0700,-0.1100,normal,false,false
2026-04-16,16 Apr,10971071,10695746.0879,13343364.9881,24565747.8094,-3174255.6336,23645973.5000,-4943590.5000,0.0400,0.2900,0.2900,normal,false,false
2026-04-17,17 Apr,5274313,10406547.2479,10922649.3917,24071165.8100,-3258071.3143,18216539.7500,-1685930.2500,-0.7500,-0.9100,-0.9100,normal,false,false
2026-04-18,18 Apr,2597836.8900,10497113.2479,8425205.6412,24006784.6359,-3012558.1402,18167487.5000,-1604176.5000,-1.1700,-1.5500,-1.5500,normal,false,false
2026-04-19,19 Apr,7533892,9961298.6686,8157811.5488,24073200.1959,-4150602.8588,18791622.1250,-2888394.8750,-0.3400,-0.2500,-0.3400,normal,false,false
2026-04-20,20 Apr,4659159,10125811.5971,7108215.7842,24065939.8698,-3814316.6755,17938743.1250,-1466929.8750,-0.7800,-1,-1,normal,false,false
2026-04-21,21 Apr,7872100,9928762.1686,7337381.0489,24092627.2408,-4235102.9036,19434618.1250,-3960054.8750,-0.2900,-0.1700,-0.2900,normal,false,false
2026-04-22,22 Apr,10628986.0700,9500571.5257,8324862.5552,23524101.3294,-4522958.2780,16888002.5000,-2432085.5000,0.1600,0.5400,0.5400,normal,false,false
2026-04-23,23 Apr,18638336,9624524.3164,11418904.5887,23655079.9558,-4406031.3230,18793208.8813,-3575209.3288,1.2800,2.4300,2.4300,mild,true,false
2026-04-24,24 Apr,27164088,10752119.6400,16142459.6121,24960556.3570,-3456317.0770,18455062.7937,-1730305.2763,2.3100,4.2700,4.2700,heavy,true,false
2026-04-25,25 Apr,2480053,12059355.8543,12043737.6284,28520893.9917,-4402182.2831,33044987.7500,-10484260.2500,-1.1600,-1.0400,-1.1600,normal,false,false
2026-04-26,26 Apr,1325747,11541270.3543,8828340.4399,28704622.7658,-5622082.0572,34584378.1250,-13049910.8750,-1.1900,-1.1100,-1.1900,normal,false,false
2026-04-27,27 Apr,9173452,11370294.7114,8931873.9079,28885989.1354,-6145399.7126,34584378.1250,-13049910.8750,-0.2500,0.0700,-0.2500,normal,false,false
2026-04-28,28 Apr,8473057,10382483.9257,8794228.8356,26680148.2262,-5915180.3748,19994453.1688,-4295955.9013,-0.2300,-0.0100,-0.2300,normal,false,false
2026-04-29,29 Apr,7008575,9011729.9257,8258532.6849,22195610.4891,-4172150.6377,18567507.6313,-3439788.5788,-0.3000,-0.2800,-0.3000,normal,false,false
2026-04-30,30 Apr,13580697,8842904.7114,9855181.9794,22064480.0339,-4378670.6110,18443335.1313,-3365285.0788,0.7200,1.3300,1.3300,normal,false,false
2026-05-01,01 May,5475721,9029306.5686,8541343.6856,22437900.1233,-4379286.9862,18443335.1313,-3365285.0788,-0.5300,-0.5000,-0.5300,normal,false,false
2026-05-02,02 May,3800442,9043692.8543,7119073.1799,22436563.3467,-4349177.6381,18367807.1313,-3239405.0788,-0.7800,-0.8800,-0.8800,normal,false,false
2026-05-03,03 May,3009024,9129593.2193,5886058.4259,22370555.0562,-4111368.6176,18367807.1313,-3239405.0788,-0.9200,-1.0600,-1.0600,normal,false,false
2026-05-04,04 May,11119831,8806388.3621,7456190.1982,22403482.5071,-4790705.7828,19640074.5063,-5359850.7037,0.3400,0.7300,0.7300,normal,false,false
