period,label,value,baseline,ewma,upper,lower,iqrUpper,iqrLower,z,robustZ,score,severity,isAnomaly,warming
2026-03-30,30 Mar,36189396.7600,,36189396.7600,,,,,0,0,0,normal,false,true
2026-04-06,06 Apr,55345705.4700,,43851920.2440,,,,,0,0,0,normal,false,true
2026-04-13,13 Apr,86415656.8900,,60877414.9024,,,,,0,0,0,normal,false,true
2026-04-20,20 Apr,72768469.0700,59316919.7067,65633836.5694,100709260.6583,17924578.7550,108550376.2775,8097856.0175,0.6500,0.6100,0.6500,normal,false,false
2026-04-27,27 Apr,50520968,62679807.0475,59588689.1417,100372015.1587,24987598.9363,114615722.6237,12121171.6938,-0.6500,-0.5900,-0.6500,normal,false,false
2026-05-04,04 May,51807091,60248039.2380,56476049.8850,95336184.7676,25159893.7084,106139720.6750,17149716.3950,-0.4800,-0.1400,-0.4800,normal,false,false
2026-05-11,11 May,57775417.4000,58841214.5317,56995796.8910,91484203.7587,26198225.3046,94768197.3000,24487079.6200,-0.0700,0.2800,0.2800,normal,false,false
2026-05-18,18 May,65973572,62438884.6383,60586906.9346,88371088.7162,36506680.5605,93512898.4550,28199052.3150,0.2700,1.1800,1.1800,normal,false,false
2026-05-25,25 May,72827733.5200,64210195.7267,65483237.5688,89403771.3456,39016620.1077,97725603.1062,26643314.2963,0.6800,0.7000,0.7000,normal,false,false
2026-06-01,01 Jun,65842373,61945541.8317,65626891.7413,80248217.1782,43642866.4851,97725603.1062,26643314.2963,0.4300,0.2600,0.4300,normal,false,false
