period,label,value,baseline,ewma,upper,lower,iqrUpper,iqrLower,z,robustZ,score,severity,isAnomaly,warming
2026-04-01,01 Apr,2205417.8600,,2205417.8600,,,,,0,0,0,normal,false,true
2026-04-02,02 Apr,516856,,1698849.3020,,,,,0,0,0,normal,false,true
2026-04-03,03 Apr,346639.0100,,1293186.2144,,,,,0,0,0,normal,false,true
2026-04-04,04 Apr,762153.8800,,1133876.5141,,,,,0,0,0,normal,false,true
2026-04-05,05 Apr,62700,,812523.5599,,,,,0,0,0,normal,false,true
2026-04-06,06 Apr,366608.0100,,678748.8949,,,,,0,0,0,normal,false,true
2026-04-07,07 Apr,3688408,,1581646.6264,,,,,0,0,0,normal,false,true
2026-04-08,08 Apr,170349,1135540.3943,1158257.3385,3590688.6400,-1319607.8515,3174529.4100,-1334120.0300,-0.7900,-0.9500,-0.9500,normal,false,false
2026-04-09,09 Apr,1218245.4700,1014891.4700,1176253.7780,3398555.9508,-1368773.0108,2353574.9263,-928038.5437,0.1700,1.7700,1.7700,normal,false,false
2026-04-10,10 Apr,543365,1037486.3589,986387.1446,3288458.5738,-1213485.8560,2525655.1600,-960770.6800,-0.4400,0.0500,-0.4400,normal,false,false
2026-04-11,11 Apr,336108.8000,988074.2230,791303.6412,3144015.8853,-1167867.4393,2233109.5412,-777255.7087,-0.6000,-0.4400,-0.6000,normal,false,false
2026-04-12,12 Apr,18540,928804.6391,559474.5488,3018313.3523,-1160704.0741,1963438.3300,-631864.7500,-0.8700,-1.3700,-1.3700,normal,false,false
2026-04-13,13 Apr,404122,852949.2525,512868.7842,2915808.2361,-1209909.7311,1748438.6687,-577593.0413,-0.4400,-0.0900,-0.4400,normal,false,false
2026-04-14,14 Apr,265473.0700,818424.0792,438650.0699,2814736.9592,-1177888.8007,1401221.5000,-302958.8200,-0.5500,-0.4000,-0.5500,normal,false,false
2026-04-15,15 Apr,105810,778927.5786,338798.0490,2723592.5744,-1165737.4173,1343943.6463,-353354.9838,-0.6900,-1.0100,-1.0100,normal,false,false
2026-04-16,16 Apr,647670.4400,628955.5886,431459.7663,2428904.5715,-1170993.3943,1050649.3487,-319781.5812,0.0200,1.0500,1.0500,normal,false,false
2026-04-17,17 Apr,158038.5600,638299.4771,349433.4044,2437181.5749,-1160582.6207,1262790.1737,-447066.0762,-0.5300,-0.6100,-0.6100,normal,false,false
2026-04-18,18 Apr,137507.4400,624828.0164,285855.6151,2435034.2243,-1185378.1915,1312310.9450,-529600.6950,-0.5400,-0.6600,-0.6600,normal,false,false
2026-04-19,19 Apr,61834,580210.4136,218649.1305,2405408.2915,-1244987.4644,1057425.2950,-406230.8250,-0.5700,-0.9000,-0.9000,normal,false,false
2026-04-20,20 Apr,83304.0400,580148.5564,178045.6034,2405416.6426,-1245119.5297,1057425.2950,-406230.8250,-0.5400,-0.8200,-0.8200,normal,false,false
2026-04-21,21 Apr,940005,559912.5586,406633.4224,2400419.8273,-1280594.7102,1100784.0850,-478495.4750,0.4100,3.3500,3.3500,moderate,true,false
2026-04-22,22 Apr,405166.0400,363598.0586,406193.2077,1055091.2046,-327895.0874,1100784.0850,-478495.4750,0.1200,0.8700,0.8700,normal,false,false
2026-04-23,23 Apr,148956,380370.7043,329022.0454,1063643.0603,-302901.6517,1101436.6100,-478886.9900,-0.6800,-0.5000,-0.6800,normal,false,false
2026-04-24,24 Apr,148567.4500,303992.8850,274885.6668,812172.4197,-204186.6497,841661.0350,-323021.6450,-0.6100,-0.3100,-0.6100,normal,false,false
2026-04-25,25 Apr,1322118.1200,275793.0600,589055.4027,771369.8878,-219783.7678,797195.2100,-296342.1500,4.2200,7.7400,7.7400,extreme,true,false
2026-04-26,26 Apr,321101,346222.2971,508669.0819,1079376.2726,-386931.6784,841661.0350,-323021.6450,-0.0700,1.1100,1.1100,normal,false,false
2026-04-27,27 Apr,169354.0400,367833.7971,406874.5693,1078571.4875,-342903.8933,801853.9112,-256676.4387,-0.5600,-0.2400,-0.5600,normal,false,false
2026-04-28,28 Apr,116766,351064.6571,319841.9985,1068631.7271,-366502.4128,749965.7862,-225543.5637,-0.6500,-0.3500,-0.6500,normal,false,false
2026-04-29,29 Apr,395019.2100,340442.7236,342395.1620,1067108.1278,-386222.6806,777447.4100,-271346.2700,0.1500,2.7600,2.7600,moderate,true,false
2026-04-30,30 Apr,47293600.5300,361100.5243,14427756.7724,1076263.0004,-354061.9519,796164.6675,-253262.8925,131.2500,348.8400,348.8400,extreme,true,false
2026-05-01,01 May,3288082.1300,3692952.6736,11085854.3797,27888289.8444,-20502384.4972,796164.6675,-253262.8925,-0.0300,23.1300,23.1300,extreme,true,false
2026-05-02,02 May,125169,3916527.2143,7797648.7658,28034799.4643,-20201745.0357,1805329.4863,-858761.7838,-0.3100,-0.5200,-0.5200,normal,false,false
2026-05-03,03 May,165987,3915645.8971,5508150.2360,28034471.3419,-20203179.5476,1819210.2312,-881896.3587,-0.3100,-0.3500,-0.3500,normal,false,false
2026-05-04,04 May,394726.0100,3923085.3971,3974122.9682,28037215.1838,-20191044.3895,1792741.2688,-837781.4213,-0.2900,0.7200,0.7200,normal,false,false
2026-05-05,05 May,664449.0600,3945329.8236,2981220.7958,28045821.0188,-20155161.3716,1785917.5250,-826408.5150,-0.2700,0.9900,0.9900,normal,false,false
2026-05-06,06 May,819815.7300,3925647.2564,2332799.2760,28036371.8596,-20185077.3467,1269250.1375,-516408.0825,-0.2600,1.4900,1.4900,normal,false,false
2026-05-07,07 May,293979.7400,3955265.0914,1721153.4152,28049631.7334,-20139101.5505,1722614.5313,-788426.7188,-0.3000,-0.2000,-0.3000,normal,false,false
2026-05-08,08 May,1031648.0900,3965623.9300,1514301.8177,28053559.7534,-20122311.8934,1702192.0163,-754389.1938,-0.2400,2.0600,2.0600,mild,true,false
2026-05-09,09 May,367279,4028701.1186,1170194.9724,28080923.3184,-20023521.0813,2145959.3025,-966758.8375,-0.3000,-0.0700,-0.3000,normal,false,false
2026-05-10,10 May,146355,3960498.3243,863042.9807,28048421.6312,-20127424.9826,1651669.4588,-670184.9313,-0.3200,-0.6700,-0.6700,normal,false,false
2026-05-11,11 May,249157,3948016.4671,678877.1865,28043650.1415,-20147617.2072,1702192.0163,-754389.1938,-0.3100,-0.3600,-0.3600,normal,false,false
2026-05-12,12 May,583676.0100,3953716.6786,650316.8335,28045809.5386,-20138376.1815,1672265.9063,-704512.3438,-0.2800,0.5600,0.5600,normal,false,false
2026-05-13,13 May,279603.0800,3987067.3936,539102.7075,28059106.2777,-20084971.4905,1561891.1288,-520554.3813,-0.3100,-0.3300,-0.3300,normal,false,false
2026-05-14,14 May,142122,3978823.3843,420008.4952,28055855.8671,-20098209.0985,1567282.3763,-529539.7938,-0.3200,-0.7200,-0.7200,normal,false,false
2026-05-15,15 May,125733,610860.6321,331725.8467,2188214.7510,-966493.4867,1330470.2438,-499434.9463,-0.6200,-0.7400,-0.7400,normal,false,false
2026-05-16,16 May,38786,384978.5514,243843.8927,935738.2673,-165781.1644,1114201.7750,-426500.2650,-1.2600,-1.1700,-1.2600,normal,false,false
2026-05-17,17 May,691451,378808.3371,378126.0249,942847.9012,-185231.2269,1114201.7750,-426500.2650,1.1100,1.9100,1.9100,normal,false,false
2026-05-18,18 May,1093165.1200,416341.4800,592637.7534,988610.7478,-155927.7878,1352556.2438,-536244.9463,2.3700,2.6100,2.6100,moderate,true,false
2026-05-19,19 May,111988,466229.9879,448442.8274,1135771.6921,-203311.7164,1453668.0375,-596912.0225,-1.0600,-0.6400,-1.0600,normal,false,false
2026-05-20,20 May,2870854,426768.4836,1175166.1792,1109911.8421,-256374.8749,1446497.7562,-638810.2537,7.1600,10.3800,10.3800,extreme,true,false
2026-05-21,21 May,190949,573271.2171,879901.0254,2002754.8531,-856212.4188,1446497.7562,-638810.2537,-0.5300,-0.3800,-0.5300,normal,false,false
2026-05-22,22 May,96050,565911.8786,644745.7178,2002116.2452,-870292.4881,1446497.7562,-638810.2537,-0.6500,-0.7800,-0.7800,normal,false,false
2026-05-23,23 May,4965,499083.4436,452811.5025,1929440.6267,-931273.7396,1129196.5188,-469789.5113,-0.6900,-1.2500,-1.2500,normal,false,false
2026-05-24,24 May,96400,473203.8721,345888.0517,1925111.9708,-978704.2265,1096008.0688,-472926.0413,-0.5200,-0.5100,-0.5200,normal,false,false
2026-05-25,25 May,66591,469635.6579,262098.9362,1924980.7487,-985709.4329,1118698.9438,-510744.1663,-0.5500,-0.6900,-0.6900,normal,false,false
2026-05-26,26 May,284528,456595.2293,268827.6553,1922839.8089,-1009649.3503,1124938.1938,-521142.9163,-0.2300,1.2500,1.2500,normal,false,false
2026-05-27,27 May,254587,435227.5143,264555.4587,1902160.3283,-1031705.2997,564035.6750,-184601.4050,-0.2500,1,1,normal,false,false
2026-05-28,28 May,71468,433440.6514,206629.2211,1901188.0911,-1034306.7882,548400.6250,-175220.3750,-0.4900,-0.5200,-0.5200,normal,false,false
2026-05-29,29 May,92624.0500,428393.9371,172427.6698,1900592.4861,-1043804.6118,576186.6250,-221530.3750,-0.4600,-0.2300,-0.4600,normal,false,false
2026-05-30,30 May,18540,426029.0121,126261.3688,1900269.6845,-1048211.6602,577471.3562,-223671.5937,-0.5500,-0.7600,-0.7600,normal,false,false
2026-05-31,31 May,16224959.5300,424582.8693,4955870.8172,1900379.0540,-1051213.3155,577471.3562,-223671.5937,21.4100,126.1300,126.1300,extreme,true,false
2026-06-01,01 Jun,453517.0800,1534119.1929,3605164.6960,9814364.2272,-6746125.8415,577471.3562,-223671.5937,-0.2600,2.7300,2.7300,moderate,true,false
2026-06-02,02 Jun,61902,1488430.0471,2542185.8872,9784946.3188,-6808086.2245,577471.3562,-223671.5937,-0.3400,-0.3300,-0.3400,normal,false,false
2026-06-03,03 Jun,0,1484852.4757,1779530.1211,9783782.6690,-6814077.7175,590891.5000,-246038.5000,-0.3600,-0.7700,-0.7700,normal,false,false
2026-06-04,04 Jun,1850070,1279791.4757,1800692.0847,9573471.2499,-7013888.2985,502082.3750,-200330.6250,0.1400,14.3400,14.3400,extreme,true,false
2026-06-05,05 Jun,360309,1398300.1186,1368577.1593,9673753.5662,-6877153.3290,597995.5000,-257878.5000,-0.2500,2.1700,2.1700,mild,true,false
