period,label,value,baseline,ewma,upper,lower,iqrUpper,iqrLower,z,robustZ,score,severity,isAnomaly,warming
2026-03-30,30 Mar,3893766.7500,,3893766.7500,,,,,0,0,0,normal,false,true
2026-04-06,06 Apr,6341624.2800,,4872909.7620,,,,,0,0,0,normal,false,true
2026-04-13,13 Apr,1780455.5100,,3635928.0612,,,,,0,0,0,normal,false,true
2026-04-20,20 Apr,3369217.6500,4005282.1800,3529243.8967,7732798.5669,277765.7931,8538572.0925,-583765.4475,-0.3400,-0.1700,-0.3400,normal,false,false
2026-04-27,27 Apr,51553977.9100,3846266.0475,22739137.5020,7121051.1360,571480.9590,6806287.1588,671471.0888,29.1400,30.5900,30.5900,extreme,true,false
2026-05-04,04 May,3718252.6300,13387808.4200,15130783.5532,51666207.9090,-24890591.0690,10800234.2250,-1089392.2950,-0.5100,-0.0600,-0.5100,normal,false,false
2026-05-11,11 May,2110528.0900,11776215.7883,9922681.3679,47454984.0650,-23902552.4884,9139435.1512,46701.1413,-0.5400,-0.9300,-0.9300,normal,false,false
2026-05-18,18 May,4464371.1200,11479009.3450,7739357.2688,47444032.0238,-24486013.3338,10576652.6988,-2465670.8512,-0.3900,0.3900,-0.3900,normal,false,false
2026-05-25,25 May,17013297.5800,11166133.8183,11448933.3933,47336557.8503,-25004290.2137,7056803.0238,-353761.0463,0.3200,7.7200,7.7200,extreme,true,false
2026-06-01,01 Jun,2725798.0800,13704940.8300,7959679.2680,49011922.9768,-21602041.3168,29505450.3200,-12172907.9600,-0.6200,-0.6800,-0.6800,normal,false,false
