period,label,value,baseline,ewma,upper,lower,iqrUpper,iqrLower,z,robustZ,score,severity,isAnomaly,warming
2026-04-01,01 Apr,31115798.4400,,31115798.4400,,,,,0,0,0,normal,false,true
2026-04-02,02 Apr,28219105.2400,,30246790.4800,,,,,0,0,0,normal,false,true
2026-04-03,03 Apr,18190803,,26629994.2360,,,,,0,0,0,normal,false,true
2026-04-04,04 Apr,22778129.2400,,25474434.7372,,,,,0,0,0,normal,false,true
2026-04-05,05 Apr,8922533.2400,,20508864.2880,,,,,0,0,0,normal,false,true
2026-04-06,06 Apr,7487225.2400,,16602372.5736,,,,,0,0,0,normal,false,true
2026-04-07,07 Apr,11767164.5700,,15151810.1725,,,,,0,0,0,normal,false,true
2026-04-08,08 Apr,9816907,18354394.1386,13551339.2208,35760618.1885,948170.0886,48229269.7425,-12385803.5975,-0.9800,-0.6100,-0.9800,normal,false,false
2026-04-09,09 Apr,15262814,17287208.2462,14064781.6545,34520703.4409,53713.0516,45955962.7600,-12224275.9600,-0.2300,0.0300,-0.2300,normal,false,false
2026-04-10,10 Apr,13688728,17062275.5522,13951965.5582,33359917.2747,764633.8297,42219962.6000,-9624926.3600,-0.4100,-0.1700,-0.4100,normal,false,false
2026-04-11,11 Apr,11340362,16724920.7970,13168484.4907,32318153.6066,1131687.9874,38621537.1112,-6685768.0387,-0.6900,-0.4100,-0.6900,normal,false,false
2026-04-12,12 Apr,11915984,16235415.4518,12792734.3435,31421892.4119,1048938.4917,35343213.5500,-4280112.9300,-0.5700,-0.2700,-0.5700,normal,false,false
2026-04-13,13 Apr,11448524,15875462.8308,12389471.2405,30610146.1117,1140779.5500,31904839.0250,-1607706.2150,-0.6000,-0.2700,-0.6000,normal,false,false
2026-04-14,14 Apr,22350177,15534929.0746,15377682.9683,29886803.1357,1183055.0135,28466464.5000,1064700.5000,0.9500,2.3500,2.3500,mild,true,false
2026-04-15,15 Apr,14326260,16021732.4979,15062256.0778,30290107.6954,1753357.3003,36224730,-3546994,-0.2400,0.3000,0.3000,normal,false,false
2026-04-16,16 Apr,25242734,14822479.7521,18116399.4545,26379317.6536,3265641.8507,26595910.6250,2230297.6250,1.8000,3.0800,3.0800,moderate,true,false
2026-04-17,17 Apr,15954235,14609881.8064,17467750.1181,25245954.0097,3973809.6032,26595910.6250,2230297.6250,0.2500,0.7800,0.7800,normal,false,false
2026-04-18,18 Apr,11270570.3400,14450126.9493,15608596.1847,24932330.8889,3967923.0097,22402345.6250,4746436.6250,-0.6100,-0.3800,-0.6100,normal,false,false
2026-04-19,19 Apr,2854649.2400,13628158.4564,11782412.1013,23127981.0900,4128335.8229,20639661.3675,5677032.3875,-2.2700,-2.6900,-2.6900,moderate,true,false
2026-04-20,20 Apr,6790996,13194738.1707,10284987.2709,23980427.8087,2409048.5328,20639661.3675,5677032.3875,-1.1900,-1.5100,-1.5100,normal,false,false
2026-04-21,21 Apr,8381048.2400,13145007.5107,9713805.5616,24041356.0390,2248658.9824,20639661.3675,5677032.3875,-0.8700,-1.0400,-1.0400,normal,false,false
2026-04-22,22 Apr,11512843,12903142.0586,10253516.7931,24058337.0250,1747947.0922,22301204.4975,2907793.8375,-0.2500,-0.0400,-0.2500,normal,false,false
2026-04-23,23 Apr,8898285.2400,13024280.3443,9846947.3272,24079168.7709,1969391.9176,20639661.3675,5677032.3875,-0.7500,-0.6400,-0.7500,normal,false,false
2026-04-24,24 Apr,5548244,12569671.1471,8557336.3290,23741784.1690,1397558.1253,21180157.7275,2478075.7875,-1.2600,-1.4700,-1.4700,normal,false,false
2026-04-25,25 Apr,7580836,11988208.0043,8264386.2303,23701096.4163,275319.5923,21543691.2650,690357.2250,-0.7500,-0.8700,-0.8700,normal,false,false
2026-04-26,26 Apr,9849253,11719670.4329,8739846.2612,23650025.3778,-210684.5121,22637893.9100,-1133313.8500,-0.3100,-0.3000,-0.3100,normal,false,false
2026-04-27,27 Apr,11749989.2400,11572046.7900,9642889.1549,23540118.7900,-396025.2100,22385930.7850,-982135.9750,0.0300,0.2400,0.2400,normal,false,false
2026-04-28,28 Apr,6232686,11593580.0214,8619828.2084,23561770.3609,-374610.3180,22534147.1850,-1071065.8150,-0.9000,-0.8700,-0.9000,normal,false,false
2026-04-29,29 Apr,12149796.2400,10442330.6643,9678818.6179,21076656.2860,-191994.9574,18744072.7000,-64914.0200,0.3200,0.7600,0.7600,normal,false,false
2026-04-30,30 Apr,11292991.2400,10286868.9671,10163070.4045,20751820.8114,-178082.8771,18744072.7000,-64914.0200,0.1900,0.5200,0.5200,normal,false,false
2026-05-01,01 May,32309688.7900,9290458.7700,16807055.9202,15765421.0329,2815496.5071,18162016.1500,284319.9100,7.1100,6.8500,7.1100,extreme,true,false
2026-05-02,02 May,5005281.2400,10458705.4693,13266523.5161,23694045.7071,-2776634.7685,18162016.1500,284319.9100,-0.8200,-1.3100,-1.3100,normal,false,false
