period,label,value,baseline,ewma,upper,lower,iqrUpper,iqrLower,z,robustZ,score,severity,isAnomaly,warming
2026-03-30,30 Mar,109226369.1600,,109226369.1600,,,,,0,0,0,normal,false,true
2026-04-06,06 Apr,81279184.8100,,98047495.4200,,,,,0,0,0,normal,false,true
2026-04-13,13 Apr,103447149.5800,,100207357.0840,,,,,0,0,0,normal,false,true
2026-04-20,20 Apr,58561505.4800,97984234.5167,83549016.4424,122075386.9183,73893082.1150,127297147.6325,71402778.9325,-3.2700,-5.2400,-5.2400,extreme,true,false
2026-04-27,27 Apr,91077206.7500,88128552.2575,86560292.5654,128139818.0654,48117286.4496,148830238.7212,31661480.7313,0.1500,-0.0600,0.1500,normal,false,false
2026-05-04,04 May,83881495.7200,88718283.1560,85488773.8273,124583107.6191,52853458.6929,136699096.7350,48027237.6550,-0.2700,-0.3900,-0.3900,normal,false,false
2026-05-11,11 May,85039707,87912151.9167,85309147.0964,120849997.1149,54974306.7184,127992015.8750,54292410.5350,-0.1700,-0.1500,-0.1700,normal,false,false
2026-05-18,18 May,79279450.1600,83881041.5567,82897268.3218,110761126.4791,57000956.6343,101024935.7250,70472658.6250,-0.3400,-0.7100,-0.7100,normal,false,false
2026-05-25,25 May,90728897.2000,83547752.4483,86029919.8731,110597668.5693,56497836.3274,103274637.2063,66723156.1562,0.5300,0.7200,0.7200,normal,false,false
2026-06-01,01 Jun,64975026.2800,81428043.7183,77607962.4359,103430631.2384,59425456.1983,102621556.8000,67115004.4000,-1.5000,-2.3000,-2.3000,mild,true,false
